customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,labels:LABEL
AO841,华泰通安传媒有限公司网络安全,刘云,采购经理,宁夏回族自治区晶市大东宋路b座 758987,兴城市,北京市,463424,中国,18676508605,13394245116.0,Customer
EG347,商软冠联信息有限公司移动应用开发,赵玉,采购经理,香港特别行政区海口市江北王街Q座 536649,佳县,湖北省,422838,中国,14557019933,13005140345.0,Customer
EG900,时空盒数字信息有限公司云计算,古岩,项目经理,吉林省瑜县花溪巢湖路B座 898740,静县,陕西省,215169,中国,13064567082,14786863674.0,Customer
EI607,七喜网络有限公司信息技术,刘玉英,技术总监,甘肃省帅市房山蒋路N座 681607,秀华县,辽宁省,852374,中国,13831438878,14755191562.0,Customer
FU528,银嘉科技有限公司区块链技术,张桂花,CTO,天津市文市高明福州路I座 822622,柳州县,重庆市,179829,中国,18607526262,13195576308.0,Customer
FU698,昂歌信息科技有限公司大数据分析,王桂芳,CTO,河南省婷市花溪包街z座 109271,成县,香港特别行政区,250962,中国,15932715870,18182059707.0,Customer
GX010,海创信息有限公司虚拟现实,白萍,采购经理,海南省辉市永川宜都路W座 377930,凤兰市,安徽省,111708,中国,18530866817,18286857563.0,Customer
HC222,鸿睿思博科技有限公司网络安全,杨瑜,总经理,湖北省沈阳市合川李路x座 196209,强县,黑龙江省,979050,中国,15247242422,15909743768.0,Customer
IU641,南康传媒有限公司金融科技,陈冬梅,CEO,贵州省南昌市平山大冶路S座 486601,张家港市,广东省,375428,中国,18924235582,13962411646.0,Customer
IX975,晖来计算机信息有限公司物联网,戚红梅,CTO,海南省璐县华龙南昌街d座 354711,杨市,安徽省,459842,中国,18513873567,15810880146.0,Customer
LG805,时刻传媒有限公司金融科技,郑桂花,总经理,江西省海燕县龙潭冯街Y座 241085,太原县,江西省,787764,中国,15564168275,,Customer
OO472,快讯传媒有限公司云计算,王鑫,CEO,甘肃省贵阳县花溪大冶街w座 762920,欢县,江西省,224136,中国,13859983379,,Customer
QK518,凌颖信息信息有限公司虚拟现实,江杰,运营总监,青海省坤市秀英太原路g座 143270,浩市,福建省,683009,中国,18048759113,18820756032.0,Customer
QL111,华成育卓科技有限公司电子商务,张英,项目经理,澳门特别行政区莉县沙湾合肥路v座 916672,建国市,新疆维吾尔自治区,884275,中国,18239545127,18796443845.0,Customer
TO179,四通信息有限公司数字科技,高淑华,CTO,宁夏回族自治区马鞍山市安次澳门街P座 955922,成都县,重庆市,949001,中国,13865436507,13935626142.0,Customer
UI658,艾提科信传媒有限公司电子商务,张晶,项目经理,甘肃省西安市长寿西安街K座 387533,乌鲁木齐市,湖北省,947357,中国,15921511730,,Customer
VN368,诺依曼软件网络有限公司信息技术,张飞,技术总监,甘肃省巢湖县蓟州太原路V座 848312,银川市,青海省,910441,中国,18743307496,13103567228.0,Customer
WN529,彩虹网络有限公司金融科技,黄想,采购经理,陕西省丹市牧野王街I座 736659,丽华县,重庆市,929077,中国,15687906918,15320714425.0,Customer
XF086,维涛信息有限公司智能科技,王春梅,运营总监,陕西省西宁市蓟州阜新路k座 872822,汕尾县,黑龙江省,560252,中国,15516852612,18730086938.0,Customer
ZJ780,网新恒天传媒有限公司生物科技,梁志强,采购总监,江苏省颖市徐汇阜新街d座 108012,齐齐哈尔县,西藏自治区,684753,中国,15292874623,13315705706.0,Customer
